global,time,journakilled
world,1992,44
world,1993,56
world,1994,66
world,1995,51
world,1996,26
world,1997,26
world,1998,24
world,1999,36
world,2000,24
world,2001,37
world,2002,21
world,2003,42
world,2004,61
world,2005,50
world,2006,57
world,2007,70
world,2008,42
world,2009,76
world,2010,44
world,2011,49
world,2012,74
world,2013,74
world,2014,62
world,2015,73
world,2016,51
world,2017,47
world,2018,56
world,2019,26
world,2020,32
