country,time,abscorrup_idea
afg,1975,44.81049
afg,1976,44.81049
afg,1977,44.81049
afg,1978,42.5183
afg,1979,44.9592
afg,1980,44.9592
afg,1981,44.9592
afg,1982,44.9592
afg,1983,44.9592
afg,1984,44.9592
afg,1985,44.9592
afg,1986,44.9592
afg,1987,44.9592
afg,1988,44.9592
afg,1989,44.9592
afg,1990,44.9592
afg,1991,44.9592
afg,1992,38.23939
afg,1993,22.9738
afg,1994,22.9738
afg,1995,22.9738
afg,1996,28.62587
afg,1997,34.02105
afg,1998,34.02105
afg,1999,34.02105
afg,2000,34.02105
afg,2001,31.98041
afg,2002,23.08087
afg,2003,23.08087
afg,2004,23.08087
afg,2005,17.9473
afg,2006,17.9473
afg,2007,17.9473
afg,2008,17.9473
afg,2009,17.9473
afg,2010,15.24582
afg,2011,15.24582
afg,2012,15.24582
afg,2013,18.71387
afg,2014,20.41143
afg,2015,22.34347
afg,2016,19.78344
afg,2017,19.78344
afg,2018,24.16608
afg,2019,40.45882
ago,1975,48.14628
ago,1976,48.14628
ago,1977,48.14628
ago,1978,46.69177
ago,1979,46.69177
ago,1980,43.24013
ago,1981,43.24013
ago,1982,41.63719
ago,1983,41.63719
ago,1984,42.22605
ago,1985,42.22605
ago,1986,42.22605
ago,1987,41.77526
ago,1988,37.04766
ago,1989,37.04766
ago,1990,37.04766
ago,1991,37.04766
ago,1992,29.3615
ago,1993,29.16964
ago,1994,29.16964
ago,1995,29.16964
ago,1996,29.16964
ago,1997,28.41179
ago,1998,28.41179
ago,1999,28.41179
ago,2000,28.41179
ago,2001,28.41179
ago,2002,23.91283
ago,2003,17.90332
ago,2004,17.90332
ago,2005,17.90332
ago,2006,17.90332
ago,2007,17.90332
ago,2008,17.90332
ago,2009,17.90332
ago,2010,17.90332
ago,2011,17.90332
ago,2012,17.24234
ago,2013,17.24234
ago,2014,17.24234
ago,2015,17.24234
ago,2016,17.24234
ago,2017,30.09999
ago,2018,40.35235
ago,2019,37.61187
alb,1975,75.13479
alb,1976,75.13479
alb,1977,68.83224
alb,1978,68.83224
alb,1979,68.83224
alb,1980,68.83224
alb,1981,67.71804
alb,1982,67.71804
alb,1983,67.71804
alb,1984,67.12874
alb,1985,63.44343
alb,1986,63.44343
alb,1987,63.44343
alb,1988,63.44343
alb,1989,63.44343
alb,1990,59.68521
alb,1991,48.19287
alb,1992,45.1021
alb,1993,45.478
alb,1994,45.478
alb,1995,45.1021
alb,1996,44.41249
alb,1997,42.02513
alb,1998,39.75658
alb,1999,38.27329
alb,2000,38.27329
alb,2001,40.48247
alb,2002,37.80883
alb,2003,37.80883
alb,2004,37.80883
alb,2005,43.84829
alb,2006,43.84829
alb,2007,43.84829
alb,2008,33.67927
alb,2009,33.67927
alb,2010,33.67927
alb,2011,34.50876
alb,2012,35.10698
alb,2013,38.22045
alb,2014,37.92022
alb,2015,37.92022
alb,2016,37.92022
alb,2017,33.1787
alb,2018,28.44627
alb,2019,35.93667
are,1975,56.21793
are,1976,56.21793
are,1977,56.21793
are,1978,54.23578
are,1979,54.96468
are,1980,56.21793
are,1981,56.31408
are,1982,56.31408
are,1983,56.31408
are,1984,56.33064
are,1985,56.33064
are,1986,58.21161
are,1987,58.21161
are,1988,58.21161
are,1989,58.21161
are,1990,56.33064
are,1991,56.33064
are,1992,57.96752
are,1993,59.73751
are,1994,59.73751
are,1995,59.73751
are,1996,59.73751
are,1997,59.73751
are,1998,59.73751
are,1999,59.73751
are,2000,59.73751
are,2001,59.73751
are,2002,59.73751
are,2003,59.73751
are,2004,59.43014
are,2005,61.59257
are,2006,61.59257
are,2007,66.20536
are,2008,66.20536
are,2009,66.20536
are,2010,66.71283
are,2011,66.71283
are,2012,66.71283
are,2013,66.71283
are,2014,66.71283
are,2015,67.36351
are,2016,67.36351
are,2017,67.36351
are,2018,67.36351
are,2019,67.36351
arg,1975,50.19574
arg,1976,48.61241
arg,1977,48.61241
arg,1978,48.70758
arg,1979,48.70758
arg,1980,48.70758
arg,1981,48.70758
arg,1982,48.70758
arg,1983,56.86836
arg,1984,58.80999
arg,1985,59.50364
arg,1986,59.50364
arg,1987,59.50364
arg,1988,59.50364
arg,1989,57.56084
arg,1990,50.34021
arg,1991,50.34021
arg,1992,50.34021
arg,1993,49.87926
arg,1994,49.87926
arg,1995,49.87926
arg,1996,49.87926
arg,1997,49.18189
arg,1998,49.18189
arg,1999,49.18189
arg,2000,56.69824
arg,2001,55.93043
arg,2002,53.69936
arg,2003,49.76838
arg,2004,49.76838
arg,2005,49.76838
arg,2006,49.76838
arg,2007,49.76838
arg,2008,49.76838
arg,2009,49.76838
arg,2010,49.76838
arg,2011,49.76838
arg,2012,49.76838
arg,2013,45.67727
arg,2014,45.67727
arg,2015,49.37944
