world_4region,time,percit_less_300k
africa,1950,10.43
africa,1955,12.07
africa,1960,13.27
africa,1965,13.92
africa,1970,14.42
africa,1975,14.96
africa,1980,15.24
africa,1985,15.97
africa,1990,16.93
africa,1995,17.91
africa,2000,18.19
africa,2005,18.93
africa,2010,19.77
africa,2015,20.25
africa,2020,21
africa,2025,21.31
africa,2030,21.48
africa,2035,21.93
americas,1950,27.84
americas,1955,28.11
americas,1960,28.79
americas,1965,29.54
americas,1970,29.39
americas,1975,29.5
americas,1980,29.5
americas,1985,29.74
americas,1990,29.83
americas,1995,30.43
americas,2000,30.31
americas,2005,29.96
americas,2010,29.68
americas,2015,28.76
americas,2020,28.22
americas,2025,27.78
americas,2030,27.6
americas,2035,27.5
asia,1950,10.76
asia,1955,11.36
asia,1960,11.76
asia,1965,12.43
asia,1970,12.46
asia,1975,12.67
asia,1980,13.67
asia,1985,15.02
asia,1990,15.83
asia,1995,16.24
asia,2000,15.8
asia,2005,17.16
asia,2010,18.21
asia,2015,18.94
asia,2020,19.03
asia,2025,19.04
asia,2030,19.45
asia,2035,20.02
europe,1950,31.4
europe,1955,33.35
europe,1960,34.77
europe,1965,36.12
europe,1970,37.09
europe,1975,38.64
europe,1980,39.28
europe,1985,40.01
europe,1990,40.36
europe,1995,40.83
europe,2000,40.81
europe,2005,40.79
europe,2010,40.68
europe,2015,40.32
europe,2020,40.2
europe,2025,40.4
europe,2030,40.85
europe,2035,41.34
