country,time,sgeq_idea
afg,1975,30.49712
afg,1976,30.49712
afg,1977,30.49712
afg,1978,32.21334
afg,1979,32.59495
afg,1980,28.61112
afg,1981,28.61112
afg,1982,28.61112
afg,1983,28.61112
afg,1984,28.61112
afg,1985,28.61112
afg,1986,27.76371
afg,1987,27.76371
afg,1988,27.76371
afg,1989,27.76371
afg,1990,27.74854
afg,1991,26.52836
afg,1992,25.9522
afg,1993,22.49822
afg,1994,22.49822
afg,1995,22.07614
afg,1996,21.28647
afg,1997,22.33867
afg,1998,22.33867
afg,1999,22.33867
afg,2000,20.52224
afg,2001,24.43725
afg,2002,32.83637
afg,2003,32.60178
afg,2004,33.57895
afg,2005,35.73475
afg,2006,35.73475
afg,2007,35.73475
afg,2008,36.32298
afg,2009,35.95367
afg,2010,36.51849
afg,2011,36.51849
afg,2012,36.51849
afg,2013,35.67945
afg,2014,35.67945
afg,2015,35.67945
afg,2016,35.1204
afg,2017,33.28632
afg,2018,32.23595
afg,2019,34.97126
ago,1975,9.45816
ago,1976,14.70518
ago,1977,14.70518
ago,1978,14.70518
ago,1979,14.70518
ago,1980,13.78469
ago,1981,13.78469
ago,1982,13.78469
ago,1983,13.78469
ago,1984,13.73444
ago,1985,13.73444
ago,1986,13.73444
ago,1987,13.73444
ago,1988,13.73444
ago,1989,13.73444
ago,1990,16.00598
ago,1991,16.00598
ago,1992,20.73553
ago,1993,16.55892
ago,1994,16.55892
ago,1995,16.83149
ago,1996,17.10637
ago,1997,17.10637
ago,1998,17.10637
ago,1999,17.10637
ago,2000,17.10637
ago,2001,16.94443
ago,2002,18.22155
ago,2003,25.24107
ago,2004,25.24107
ago,2005,25.24107
ago,2006,25.24107
ago,2007,25.24107
ago,2008,25.24107
ago,2009,25.24107
ago,2010,28.49718
ago,2011,28.78436
ago,2012,28.78436
ago,2013,29.34795
ago,2014,29.34795
ago,2015,29.34795
ago,2016,29.34795
ago,2017,29.47293
ago,2018,30.88783
ago,2019,23.72845
alb,1975,44.01646
alb,1976,44.01646
alb,1977,44.01646
alb,1978,44.01646
alb,1979,44.01646
alb,1980,44.01646
alb,1981,44.01646
alb,1982,44.01646
alb,1983,44.01646
alb,1984,43.4787
alb,1985,43.4787
alb,1986,43.4787
alb,1987,43.4787
alb,1988,43.85824
alb,1989,43.85824
alb,1990,45.61844
alb,1991,48.14966
alb,1992,50.38078
alb,1993,49.94659
alb,1994,51.88523
alb,1995,51.88523
alb,1996,50.70781
alb,1997,51.12481
alb,1998,50.82819
alb,1999,50.7362
alb,2000,52.75669
alb,2001,52.75669
alb,2002,52.75669
alb,2003,52.75669
alb,2004,52.55444
alb,2005,53.18918
alb,2006,53.42726
alb,2007,53.42726
alb,2008,53.42726
alb,2009,53.42726
alb,2010,53.10299
alb,2011,53.10299
alb,2012,53.10299
alb,2013,54.1192
alb,2014,54.98647
alb,2015,54.98647
alb,2016,54.98647
alb,2017,53.2633
alb,2018,53.24196
alb,2019,56.30601
are,1975,27.56472
are,1976,27.80414
are,1977,29.11458
are,1978,27.80414
are,1979,27.80414
are,1980,27.16298
are,1981,28.50788
are,1982,30.42362
are,1983,30.42362
are,1984,30.75598
are,1985,30.70391
are,1986,30.70391
are,1987,30.02007
are,1988,30.39424
are,1989,31.25345
are,1990,32.23558
are,1991,32.24836
are,1992,33.82547
are,1993,33.82547
are,1994,36.03594
are,1995,35.90953
are,1996,35.90953
are,1997,37.37798
are,1998,36.79136
are,1999,36.79136
are,2000,38.436
are,2001,38.436
are,2002,38.436
are,2003,38.436
are,2004,35.25501
are,2005,36.99921
are,2006,36.99921
are,2007,36.99921
are,2008,38.32982
are,2009,38.32982
are,2010,37.16464
are,2011,39.33502
are,2012,39.33502
are,2013,38.70523
are,2014,38.5718
are,2015,38.5718
are,2016,39.7792
are,2017,39.7792
are,2018,39.66126
are,2019,37.66883
arg,1975,54.86481
arg,1976,48.02338
arg,1977,46.23833
arg,1978,46.23833
arg,1979,46.23833
arg,1980,46.23833
arg,1981,46.23833
arg,1982,46.23833
arg,1983,53.66428
arg,1984,62.1001
arg,1985,62.1001
arg,1986,62.1001
arg,1987,62.1001
arg,1988,62.1001
arg,1989,61.61021
arg,1990,61.86472
arg,1991,59.69463
arg,1992,59.69463
arg,1993,59.69463
arg,1994,59.83058
arg,1995,59.83058
arg,1996,59.83058
arg,1997,59.83058
arg,1998,59.83058
arg,1999,59.83058
arg,2000,59.0706
arg,2001,59.5361
arg,2002,59.8371
arg,2003,59.8371
arg,2004,59.8371
arg,2005,59.67532
arg,2006,59.67532
arg,2007,59.82686
arg,2008,59.82686
arg,2009,59.82686
arg,2010,59.52674
arg,2011,59.67532
arg,2012,59.26588
arg,2013,58.98525
arg,2014,58.98525
arg,2015,58.98525
arg,2016,60.64634
arg,2017,56.36193
arg,2018,59.09633
arg,2019,57.42421
arm,1991,64.09226
arm,1992,61.82652
arm,1993,61.82652
arm,1994,63.44448
arm,1995,59.44419
arm,1996,57.9374
arm,1997,57.9374
arm,1998,57.59491
arm,1999,58.27643
arm,2000,56.0427
arm,2001,56.12608
arm,2002,55.73579
arm,2003,55.47221
arm,2004,55.47221
arm,2005,55.98707
arm,2006,55.98707
arm,2007,55.93313
arm,2008,55.93313
arm,2009,55.1001
arm,2010,55.65314
arm,2011,55.65314
arm,2012,55.65314
arm,2013,54.4464
arm,2014,54.78318
arm,2015,55.31941
arm,2016,55.67676
arm,2017,56.02278
arm,2018,61.2309
arm,2019,64.39591
aus,1975,71.60446
aus,1976,71.60446
aus,1977,71.60446
aus,1978,75.23495
aus,1979,75.23495
aus,1980,75.23495
aus,1981,75.23495
aus,1982,75.23495
aus,1983,75.23495
aus,1984,75.73497
aus,1985,75.27414
aus,1986,75.27414
aus,1987,78.9019
aus,1988,77.84713
aus,1989,77.84713
aus,1990,74.79033
aus,1991,74.79033
aus,1992,74.79033
aus,1993,75.02802
aus,1994,74.79033
aus,1995,74.79033
aus,1996,74.79033
aus,1997,75.41949
aus,1998,75.25219
aus,1999,75.25219
aus,2000,75.20342
aus,2001,75.20342
aus,2002,75.22313
aus,2003,75.22313
aus,2004,75.22313
aus,2005,75.7751
aus,2006,75.7751
aus,2007,75.95744
aus,2008,75.95744
aus,2009,75.95744
aus,2010,75.41342
aus,2011,75.41342
aus,2012,75.95744
aus,2013,75.71238
aus,2014,75.74418
aus,2015,75.87904
aus,2016,75.87904
aus,2017,75.28709
aus,2018,75.31644
aus,2019,60.30041
aut,1975,75.39624
aut,1976,76.36
aut,1977,76.36
aut,1978,76.36
aut,1979,76.36
aut,1980,77.74965
aut,1981,77.74965
aut,1982,77.74965
aut,1983,77.74965
aut,1984,78.10443
aut,1985,78.10443
aut,1986,75.52417
aut,1987,78.76291
aut,1988,78.76291
aut,1989,78.76291
aut,1990,76.0891
aut,1991,76.0891
aut,1992,75.16805
aut,1993,75.16805
aut,1994,75.16805
aut,1995,75.16805
aut,1996,75.16805
aut,1997,75.16805
aut,1998,75.16805
aut,1999,74.90085
aut,2000,73.46385
aut,2001,73.46385
aut,2002,73.46385
aut,2003,73.46385
aut,2004,73.46385
aut,2005,73.46385
aut,2006,73.46385
aut,2007,73.46385
aut,2008,73.46385
aut,2009,73.46385
aut,2010,73.46385
aut,2011,73.46385
aut,2012,73.46385
aut,2013,73.17497
aut,2014,73.17497
aut,2015,73.17497
aut,2016,73.17497
aut,2017,73.09788
aut,2018,73.89906
aut,2019,62.25336
aze,1991,45.87143
aze,1992,51.41224
aze,1993,46.36434
aze,1994,40.47176
aze,1995,39.82722
aze,1996,40.2906
aze,1997,40.2906
aze,1998,39.80435
aze,1999,38.87183
aze,2000,38.89509
aze,2001,39.53054
aze,2002,39.45214
aze,2003,38.95517
aze,2004,37.43726
aze,2005,38.39478
aze,2006,38.39478
aze,2007,37.87606
aze,2008,37.91683
aze,2009,38.18147
aze,2010,37.37621
aze,2011,37.37621
aze,2012,36.75569
aze,2013,38.12178
aze,2014,39.19772
aze,2015,39.10256
aze,2016,34.78111
aze,2017,35.78504
aze,2018,36.32252
aze,2019,35.38524
bdi,1975,27.1836
bdi,1976,27.43294
bdi,1977,27.43294
bdi,1978,28.50892
bdi,1979,28.50892
bdi,1980,28.50892
bdi,1981,28.50892
bdi,1982,28.35123
bdi,1983,28.35123
bdi,1984,29.14803
bdi,1985,30.38669
bdi,1986,30.38669
bdi,1987,30.54921
bdi,1988,30.13688
bdi,1989,30.13688
bdi,1990,30.13688
bdi,1991,30.13688
bdi,1992,31.12035
bdi,1993,33.98074
bdi,1994,37.92925
bdi,1995,37.94804
