country,time,rotac_vacc
eri,2015,96
eri,2016,96
eri,2017,96
eri,2018,96
eri,2019,96
eri,2020,96
est,2014,32
est,2015,64
est,2016,85
est,2017,87
est,2018,85
est,2019,81
est,2020,82
eth,2014,56
eth,2015,60
eth,2016,63
eth,2017,67
eth,2018,66
eth,2019,68
eth,2020,70
fin,2010,93
fin,2011,93
fin,2012,93
fin,2013,93
fin,2014,92
fin,2015,91
fin,2016,84
fin,2017,80
fin,2018,82
fin,2019,83
fin,2020,83
fji,2013,85
fji,2014,99
fji,2015,99
fji,2016,99
fji,2017,99
fji,2018,99
fji,2019,99
fsm,2010,70
fsm,2011,40
fsm,2012,45
fsm,2013,33
fsm,2014,40
fsm,2015,46
fsm,2016,35
fsm,2017,35
fsm,2018,52
fsm,2019,36
fsm,2020,40
gbr,2015,89
gbr,2016,90
gbr,2017,90
gbr,2018,91
gbr,2019,90
gbr,2020,91
geo,2013,41
geo,2014,69
geo,2015,72
geo,2016,75
geo,2017,76
geo,2018,79
geo,2019,81
geo,2020,75
gha,2012,49
gha,2013,87
gha,2014,98
gha,2015,88
gha,2016,94
gha,2017,97
gha,2018,94
gha,2019,93
gha,2020,89
gmb,2013,7
gmb,2014,92
gmb,2015,97
gmb,2016,95
gmb,2017,93
gmb,2018,93
gmb,2019,90
gnb,2016,61
gnb,2017,82
gnb,2018,85
gnb,2019,81
grc,2014,20
grc,2015,20
grc,2016,20
grc,2017,20
grc,2018,20
grc,2019,20
grc,2020,20
gtm,2010,38
gtm,2011,71
gtm,2012,81
gtm,2013,81
gtm,2014,54
gtm,2015,79
gtm,2016,82
gtm,2017,80
gtm,2018,87
gtm,2019,86
gtm,2020,85
guy,2010,39
guy,2011,77
guy,2012,91
guy,2013,94
guy,2014,95
guy,2015,96
guy,2016,96
guy,2017,97
guy,2018,91
guy,2019,99
guy,2020,97
hnd,2009,81
hnd,2010,97
hnd,2011,97
hnd,2012,98
hnd,2013,98
hnd,2014,99
hnd,2015,99
hnd,2016,96
hnd,2017,91
hnd,2018,92
hnd,2019,89
hnd,2020,83
hti,2014,23
hti,2015,58
hti,2016,58
hti,2017,58
hti,2018,58
hti,2019,48
hti,2020,51
ind,2016,4
ind,2017,13
ind,2018,35
ind,2019,53
ind,2020,82
irl,2017,89
irl,2018,89
irl,2019,89
irl,2020,89
irq,2012,31
irq,2013,52
irq,2014,30
irq,2015,43
irq,2016,52
irq,2017,63
irq,2018,60
irq,2019,5
irq,2020,42
isr,2012,82
isr,2013,80
isr,2014,81
isr,2015,80
isr,2016,81
isr,2017,81
isr,2018,81
isr,2019,80
isr,2020,79
ita,2017,14
ita,2018,19
ita,2019,61
ita,2020,63
jor,2015,88
jor,2016,97
jor,2017,96
jor,2018,93
jor,2019,86
jor,2020,75
ken,2014,19
ken,2015,66
ken,2016,74
ken,2017,67
ken,2018,92
ken,2019,93
ken,2020,93
kgz,2020,52
kir,2015,37
kir,2016,79
kir,2017,91
kir,2018,97
kir,2019,99
kir,2020,89
kwt,2017,3
kwt,2018,69
kwt,2019,69
lbr,2016,48
lbr,2017,71
lbr,2018,77
lbr,2019,64
lbr,2020,65
lby,2014,86
lby,2015,93
lby,2016,97
lby,2017,96
lby,2018,73
lby,2019,73
lby,2020,73
lso,2018,70
lso,2019,87
lso,2020,87
ltu,2018,1
ltu,2019,45
ltu,2020,48
lux,2009,86
lux,2010,87
lux,2011,88
lux,2012,89
lux,2013,89
lux,2014,89
lux,2015,89
lux,2016,89
lux,2017,89
lux,2018,89
lux,2019,89
lux,2020,89
lva,2016,43
lva,2017,78
lva,2018,79
lva,2019,85
lva,2020,86
mar,2010,2
mar,2011,80
mar,2012,88
mar,2013,90
mar,2014,90
mar,2015,90
mar,2016,99
mar,2017,99
mar,2018,99
mar,2019,98
mda,2012,21
mda,2013,65
mda,2014,62
mda,2015,62
mda,2016,70
mda,2017,66
mda,2018,67
mda,2019,66
mda,2020,56
mdg,2014,50
mdg,2015,54
mdg,2016,63
mdg,2017,60
mdg,2018,61
mdg,2019,66
mdg,2020,64
mex,2008,47
mex,2009,93
mex,2010,90
mex,2011,98
mex,2012,99
mex,2013,81
mex,2014,85
mex,2015,81
mex,2016,72
mex,2017,70
mex,2018,77
mex,2019,71
mex,2020,71
mhl,2009,71
mhl,2010,25
mhl,2011,43
mhl,2012,60
mhl,2013,52
mhl,2014,44
mhl,2015,41
mhl,2016,38
mhl,2017,46
mhl,2018,42
mhl,2019,60
mli,2014,23
mli,2015,35
mli,2016,62
mli,2017,63
mli,2018,63
mli,2019,63
mli,2020,68
mmr,2020,49
moz,2015,17
moz,2016,70
moz,2017,80
moz,2018,80
moz,2019,88
moz,2020,79
mrt,2014,5
mrt,2015,56
mrt,2016,73
mrt,2017,76
mrt,2018,76
mrt,2019,76
mrt,2020,71
mus,2015,66
mus,2016,92
mus,2017,90
mus,2018,95
mus,2019,96
mus,2020,92
mwi,2012,7
mwi,2013,81
mwi,2014,83
mwi,2015,84
mwi,2016,81
mwi,2017,85
mwi,2018,90
mwi,2019,92
mwi,2020,91
nam,2015,87
nam,2016,86
nam,2017,86
nam,2018,92
nam,2019,90
ner,2014,19
ner,2015,47
ner,2016,80
ner,2017,85
ner,2018,79
ner,2019,81
ner,2020,83
nic,2007,66
nic,2008,89
nic,2009,94
nic,2010,98
nic,2011,98
nic,2012,98
nic,2013,98
nic,2014,98
nic,2015,98
nic,2016,98
nic,2017,98
nic,2018,98
nic,2019,98
nic,2020,92
nor,2018,93
nor,2019,95
nor,2020,95
nzl,2016,66
nzl,2017,89
nzl,2018,86
nzl,2019,86
nzl,2020,88
pak,2017,12
pak,2018,58
pak,2019,81
pak,2020,80
pan,2006,82
pan,2007,66
pan,2008,74
pan,2009,78
pan,2010,89
pan,2011,95
pan,2012,92
pan,2013,87
pan,2014,87
pan,2015,87
pan,2016,92
pan,2017,94
pan,2018,95
pan,2019,94
pan,2020,86
per,2008,3
per,2009,41
per,2010,75
per,2011,84
per,2012,91
per,2013,86
per,2014,86
per,2015,87
per,2016,87
per,2017,85
per,2018,85
per,2019,90
phl,2012,5
phl,2013,28
phl,2014,1
phl,2015,2
plw,2009,15
plw,2010,76
plw,2011,89
plw,2012,89
plw,2013,99
plw,2014,99
plw,2015,97
plw,2016,98
plw,2017,95
plw,2018,93
plw,2019,92
plw,2020,82
pry,2010,56
pry,2011,85
pry,2012,87
pry,2013,86
pry,2014,90
pry,2015,91
pry,2016,91
pry,2017,93
pry,2018,91
pry,2019,86
pry,2020,80
pse,2017,99
pse,2018,99
pse,2019,99
pse,2020,99
qat,2009,59
qat,2010,55
qat,2011,93
qat,2012,90
qat,2013,97
qat,2014,90
qat,2015,92
qat,2016,99
qat,2017,93
qat,2018,95
qat,2019,98
qat,2020,83
rwa,2012,50
rwa,2013,98
rwa,2014,98
rwa,2015,98
rwa,2016,98
rwa,2017,98
rwa,2018,98
rwa,2019,98
rwa,2020,91
sau,2013,84
sau,2014,94
sau,2015,95
sau,2016,95
sau,2017,97
sau,2018,97
sau,2019,95
sau,2020,96
sdn,2011,27
sdn,2012,75
sdn,2013,80
sdn,2014,86
sdn,2015,84
sdn,2016,90
sdn,2017,95
sdn,2018,94
sdn,2019,94
sdn,2020,92
sen,2015,83
sen,2016,93
sen,2017,94
sen,2018,94
sen,2019,94
sen,2020,92
slb,2020,41
sle,2014,53
sle,2015,85
sle,2016,95
sle,2017,92
sle,2018,92
sle,2019,92
sle,2020,90
slv,2006,25
slv,2007,78
slv,2008,83
slv,2009,62
slv,2010,90
slv,2011,90
slv,2012,93
slv,2013,92
slv,2014,96
slv,2015,93
slv,2016,93
slv,2017,84
slv,2018,82
slv,2019,82
slv,2020,75
stp,2016,24
stp,2017,95
stp,2018,95
stp,2019,95
swe,2020,83
swz,2015,36
swz,2016,95
swz,2017,86
swz,2018,90
swz,2019,87
swz,2020,63
syc,2017,8
syc,2018,99
syc,2019,99
syc,2020,98
tgo,2014,28
tgo,2015,78
tgo,2016,80
tgo,2017,80
tgo,2018,79
tgo,2019,80
tgo,2020,78
tjk,2015,85
tjk,2016,96
tjk,2017,97
tjk,2018,96
tjk,2019,97
tjk,2020,95
tkm,2019,4
tkm,2020,95
tza,2013,85
tza,2014,97
tza,2015,95
tza,2016,89
tza,2017,87
tza,2018,85
tza,2019,85
tza,2020,82
uga,2018,36
uga,2019,87
uga,2020,88
usa,2009,44
usa,2010,59
usa,2011,67
usa,2012,69
usa,2013,73
usa,2014,72
usa,2015,72
usa,2016,73
usa,2017,74
usa,2018,73
usa,2019,74
usa,2020,75
uzb,2014,52
uzb,2015,95
uzb,2016,99
uzb,2017,99
uzb,2018,84
uzb,2019,48
uzb,2020,90
ven,2006,13
ven,2007,29
ven,2008,50
ven,2009,54
ven,2010,49
ven,2011,66
ven,2012,76
ven,2013,77
ven,2014,76
ven,2015,84
ven,2016,47
ven,2017,18
ven,2018,0
ven,2019,0
ven,2020,0
yem,2012,23
yem,2013,56
yem,2014,57
yem,2015,52
yem,2016,59
yem,2017,68
yem,2018,64
yem,2019,73
yem,2020,73
zaf,2009,17
zaf,2010,60
zaf,2011,67
zaf,2012,74
zaf,2013,77
zaf,2014,85
zaf,2015,85
zaf,2016,83
zaf,2017,81
zaf,2018,80
zaf,2019,83
zaf,2020,83
zmb,2014,73
zmb,2015,82
zmb,2016,90
zmb,2017,96
zmb,2018,91
zmb,2019,90
zmb,2020,87
zwe,2014,48
zwe,2015,87
zwe,2016,91
zwe,2017,91
zwe,2018,90
zwe,2019,92
zwe,2020,88
