country,time,c_impadmin_idea
afg,1976,-0.08019
afg,1977,0.14573
afg,1978,-7.85288
afg,1979,0.76307
afg,1980,-0.12936
afg,1981,2.5005
afg,1982,0.04378
afg,1983,-0.13262
afg,1984,-0.0104
afg,1985,0.0181
afg,1986,0.03865
afg,1987,-0.04465
afg,1988,-0.08033
afg,1989,0.01867
afg,1990,-0.69683
afg,1991,-3.60246
afg,1992,-6.59744
afg,1993,-8.61062
afg,1994,-0.32569
afg,1995,0.28366
afg,1996,3.01951
afg,1997,4.13032
afg,1998,0.14507
afg,1999,-0.09276
afg,2000,0.03061
afg,2001,0.52757
afg,2002,3.26547
afg,2003,-0.70851
afg,2004,-0.02116
afg,2005,-2.92701
afg,2006,0.09059
afg,2007,-0.2669
afg,2008,0.67619
afg,2009,-0.11691
afg,2010,-1.13336
afg,2011,0.06818
afg,2012,-0.21908
afg,2013,0.27292
afg,2014,1.3151
afg,2015,1.98901
afg,2016,-2.5484
afg,2017,0.3616
afg,2018,3.06991
afg,2019,6.99871
ago,1976,-0.80482
ago,1977,-0.17021
ago,1978,-0.67172
ago,1979,-0.51415
ago,1980,-1.81826
ago,1981,0.19039
ago,1982,-0.97337
ago,1983,-0.19918
ago,1984,1.2529
ago,1985,-0.24469
ago,1986,0.11524
ago,1987,-0.30776
ago,1988,-2.61587
ago,1989,-0.29349
ago,1990,1.60668
ago,1991,1.42556
ago,1992,-5.58733
ago,1993,-0.49418
ago,1994,-0.21434
ago,1995,-0.0357
ago,1996,1.01012
ago,1997,-1.18801
ago,1998,-0.57874
ago,1999,0.33209
ago,2000,0.02866
ago,2001,0.45023
ago,2002,-3.04634
ago,2003,-2.45522
ago,2004,0.0936
ago,2005,-0.02606
ago,2006,-0.21025
ago,2007,0.09644
ago,2008,0.02495
ago,2009,0.3606
ago,2010,0.32509
ago,2011,0.24396
ago,2012,-0.42057
ago,2013,-0.78913
ago,2014,0.29558
ago,2015,-0.50076
ago,2016,0.44004
ago,2017,9.38986
ago,2018,6.55089
ago,2019,-1.95026
alb,1976,0.0947
alb,1977,-3.37602
alb,1978,-0.29897
alb,1979,-0.01063
alb,1980,0.17305
alb,1981,-0.76955
alb,1982,0.19464
alb,1983,-0.29456
alb,1984,0.02026
alb,1985,-2.16749
alb,1986,0.49709
alb,1987,0.1078
alb,1988,0.02853
alb,1989,0.21299
alb,1990,-1.93584
alb,1991,-0.1585
alb,1992,-1.3584
alb,1993,0.05986
alb,1994,0.20252
alb,1995,-0.29153
alb,1996,-0.41762
alb,1997,-1.47372
alb,1998,-0.98814
alb,1999,-0.40293
alb,2000,-0.07651
