world_4region,time,wn_bothhouses_c
africa,1948,1.31
africa,1949,1.43
africa,1950,0.51
africa,1951,0.6
africa,1952,0.6
africa,1953,0.68
africa,1954,0.5
africa,1955,0.4
africa,1956,0.48
africa,1957,0.63
africa,1958,0.75
africa,1959,0.9
africa,1960,1.17
africa,1961,1.3
africa,1962,1.7
africa,1963,1.85
africa,1964,1.8
africa,1965,1.85
africa,1966,1.88
africa,1967,1.96
africa,1968,2.13
africa,1969,2.39
africa,1970,2.84
africa,1971,3.38
africa,1972,3.89
africa,1973,4.2
africa,1974,4.54
africa,1975,4.93
africa,1976,4.86
africa,1977,5.18
africa,1978,5.47
africa,1979,5.89
africa,1980,5.83
africa,1981,5.89
africa,1982,5.98
africa,1983,6
africa,1984,6.06
africa,1985,6.09
africa,1986,6.1
africa,1987,6.17
africa,1988,6.37
africa,1989,6.46
africa,1990,6.77
africa,1991,7.23
africa,1992,6.96
africa,1993,7.34
africa,1994,7.93
africa,1995,8.36
africa,1996,8.71
africa,1997,9.25
africa,1998,9.89
africa,1999,10.75
africa,2000,11.73
africa,2001,12.99
africa,2002,14.05
africa,2003,15.56
africa,2004,16.41
africa,2005,16.61
africa,2006,17.12
africa,2007,17.62
africa,2008,18.47
africa,2009,19.39
africa,2010,19.94
africa,2011,20.25
africa,2012,21.03
africa,2013,21.57
africa,2014,21.84
africa,2015,21.68
africa,2016,21.47
africa,2017,22.29
africa,2018,22.68
africa,2019,22.85
africa,2020,23.89
africa,2021,23.7
americas,1945,0.35
americas,1946,0.44
americas,1947,0.5
americas,1948,0.63
americas,1949,1.12
americas,1950,1.95
americas,1951,2.69
americas,1952,2.83
americas,1953,3.13
americas,1954,3.63
americas,1955,3.93
americas,1956,3.44
americas,1957,2.53
americas,1958,2.26
americas,1959,2.47
americas,1960,2.7
americas,1961,2.94
americas,1962,3.24
americas,1963,3.36
americas,1964,3.84
americas,1965,4.08
americas,1966,4.81
americas,1967,4.98
americas,1968,4.78
