unhcr_region,name,is--unhcr_region
unhcr_asia_pacific,Asia and the Pacific,TRUE
unhcr_europe,Europe,TRUE
unhcr_middle_east_north_africa,Middle East and North Africa,TRUE
unhcr_southern_africa,Southern Africa,TRUE
unhcr_americas,Americas,TRUE
unhcr_west_central_africa,West and Central Africa,TRUE
unhcr_east_horn_africa_great_lates,"East and Horn of Africa, and Great Lakes",TRUE
