country,time,net_users_num
afg,1990,0
afg,1991,0
afg,1992,0
afg,1993,0
afg,1994,0
afg,1995,0
afg,2001,1020
afg,2002,1031
afg,2003,20813
afg,2004,26163
afg,2005,314047
afg,2006,556976
afg,2007,514910
afg,2008,510090
afg,2009,1008016
afg,2010,1167420
afg,2011,1505871
afg,2012,1699713
afg,2013,1903906
afg,2014,2335956
afg,2015,2842564
afg,2016,3962899
afg,2017,4899975
afg,2018,5018209
afg,2019,5135637
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,112
ago,1997,844
ago,1998,2834
ago,1999,11418
ago,2000,17223
ago,2001,23049
ago,2002,47368
ago,2003,67173
ago,2004,87191
ago,2005,222198
ago,2006,302249
ago,2007,355391
ago,2008,412217
ago,2009,517828
ago,2010,653975
ago,2011,750840
ago,2012,1632015
ago,2013,2315405
ago,2014,5765539
ago,2015,3457663
ago,2016,3749523
ago,2017,4275456
ago,2018,4417846
ago,2019,4563461
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,348
alb,1996,998
alb,1997,1506
alb,1998,2023
alb,1999,2543
alb,2000,3570
alb,2001,10197
alb,2002,12195
alb,2003,30304
alb,2004,75151
alb,2005,186563
alb,2006,294356
alb,2007,456194
alb,2008,716440
alb,2009,1224894
alb,2010,1326613
alb,2011,1435014
alb,2012,1592726
alb,2013,1660967
alb,2014,1740681
alb,2015,1828340
alb,2016,1915531
alb,2017,2072189
alb,2018,2071159
alb,2019,2006351
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,983
and,1997,1962
and,1998,4417
and,1999,4915
and,2000,6891
and,2001,7097
and,2002,7888
and,2003,9913
and,2004,20464
and,2005,29660
and,2006,39636
and,2007,58597
and,2008,58736
and,2009,66327
and,2010,68408
and,2011,67836
and,2012,71245
and,2013,75924
and,2014,75965
and,2015,75583
and,2016,75695
and,2017,70504
and,2018,70514
and,2019,70641
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,2486
are,1996,9532
are,1997,88037
are,1998,194345
are,1999,443205
are,2000,740433
are,2001,867685
are,2002,985066
are,2003,1094203
are,2004,1225915
are,2005,1835289
are,2006,2756089
are,2007,3762996
are,2008,4466376
are,2009,5067116
are,2010,5813999
are,2011,6978487
are,2012,7770358
are,2013,8094159
are,2014,8329621
are,2015,8382921
are,2016,8481043
are,2017,8995759
are,2018,9481686
are,2019,9687477
arg,1990,0
arg,1991,0
arg,1992,1003
arg,1993,10030
arg,1994,15036
arg,1995,30049
arg,1996,50034
arg,1997,99962
arg,1998,299603
arg,1999,1197758
arg,2000,2595217
arg,2001,3645860
arg,2002,4100565
arg,2003,4537674
arg,2004,6172842
arg,2005,6892059
arg,2006,8222271
arg,2007,10296727
arg,2008,11267575
arg,2009,13764147
arg,2010,18403088
arg,2011,21073453
arg,2012,23299395
arg,2013,25275424
arg,2014,27586468
arg,2015,29309848
arg,2016,30877518
arg,2017,32643056
arg,2018,32958072
arg,2019,33269758
arm,1990,0
arm,1991,0
arm,1992,0
arm,1993,0
arm,1994,299
arm,1995,1697
arm,1996,2996
arm,1997,3498
arm,1998,4000
arm,1999,29986
arm,2000,39919
arm,2001,49759
arm,2002,59478
arm,2003,138077
arm,2004,147005
arm,2005,156605
arm,2006,166605
arm,2007,176580
arm,2008,180563
arm,2009,441878
arm,2010,719329
arm,2011,920492
arm,2012,1081590
arm,2013,1214091
arm,2014,1590836
arm,2015,1729076
arm,2016,1889293
arm,2017,1906601
arm,2018,1911102
arm,2019,1914978
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,0
atg,1994,0
atg,1995,1511
atg,1996,2006
atg,1997,2496
atg,1998,2981
atg,1999,3958
atg,2000,4927
atg,2001,6871
atg,2002,9787
atg,2003,13664
atg,2004,19497
atg,2005,21995
atg,2006,24815
atg,2007,28570
atg,2008,32450
atg,2009,36432
atg,2010,41374
atg,2011,46410
atg,2012,52436
atg,2013,58017
atg,2014,62739
atg,2015,65500
atg,2016,69000
atg,2017,72523
atg,2018,73174
atg,2019,73807
aus,1990,99236
aus,1991,188600
aus,1992,307803
aus,1993,347595
aus,1994,397281
aus,1995,496546
aus,1996,595744
aus,1997,3009875
aus,1998,5727258
aus,1999,7662537
aus,2000,8879654
aus,2001,10113540
aus,2002,10222444
aus,2003,10339834
aus,2004,10474451
aus,2005,12712482
aus,2006,13547358
aus,2007,14526397
aus,2008,15288854
aus,2009,16150008
aus,2010,16837562
aus,2011,17914939
aus,2012,18094121
aus,2013,19407038
aus,2014,19820998
aus,2015,20237441
aus,2016,20996949
aus,2017,21276759
aus,2018,21548107
aus,2019,21812109
aut,1990,10070
aut,1991,20138
aut,1992,50339
aut,1993,60402
aut,1994,110738
aut,1995,151030
aut,1996,553966
aut,1997,765852
aut,1998,1240027
aut,1999,1855323
aut,2000,2721775
