country,time,gapminder_index
afg,2021,-84.88963
ago,2021,-67.81458
alb,2021,-53.5603
and,2021,-48.75762
are,2021,-34.63077
arg,2021,-46.18841
arm,2021,-51.39837
atg,2021,-68.93652
aus,2021,-10.66928
aut,2021,-5.81223
aze,2021,-55.72691
bdi,2021,-27.45267
bel,2021,-9.45316
ben,2021,-57.21421
bfa,2021,-38.21036
bgd,2021,-55.80637
bgr,2021,-49.06874
bhr,2021,-49.17251
bhs,2021,-47.88889
bih,2021,-54.71585
blr,2021,-67.44214
blz,2021,-58.41976
bol,2021,-49.48663
bra,2021,-43.26755
brb,2021,-47.9805
brn,2021,-59.9484
btn,2021,-46.29538
bwa,2021,-54.98757
caf,2021,-57.9145
can,2021,-13.94144
che,2021,-8.54134
chl,2021,-49.97269
chn,2021,-31.11929
civ,2021,-61.92162
cmr,2021,-69.97076
cod,2021,-42.10934
cog,2021,-62.47979
col,2021,-55.06883
com,2021,-51.88007
cpv,2021,-61.58231
cri,2021,-50.71035
cub,2021,-48.5447
cyp,2021,-44.16982
cze,2021,-25.42562
deu,2021,-7.90993
dji,2021,-62.85106
dma,2021,-63.27114
dnk,2021,-9.78413
dom,2021,-55.31368
dza,2021,-59.57043
ecu,2021,-67.12807
egy,2021,-56.74764
eri,2021,-53.31452
esp,2021,-12.168
est,2021,-42.87069
eth,2021,-62.84457
fin,2021,-15.98246
fji,2021,-55.26117
fra,2021,-8.44489
fsm,2021,-56.02388
gab,2021,-58.74822
gbr,2021,-10.79132
geo,2021,-45.33492
gha,2021,-56.65311
gin,2021,-36.63219
gmb,2021,-66.37646
gnb,2021,-31.25174
gnq,2021,-58.84168
grc,2021,-30.8318
grd,2021,-52.44268
gtm,2021,-62.63689
guy,2021,-52.10602
hnd,2021,-68.00569
hrv,2021,-34.76846
hti,2021,-57.72409
hun,2021,-17.58478
idn,2021,-53.48041
ind,2021,-51.57247
irl,2021,-16.332
irn,2021,-56.43971
irq,2021,-70.86876
isl,2021,-11.58859
isr,2021,-41.5412
ita,2021,-7.92792
jam,2021,-48.80772
jor,2021,-54.58179
jpn,2021,-9.98658
kaz,2021,-70.46929
ken,2021,-66.50299
kgz,2021,-65.35807
khm,2021,-65.98213
kir,2021,-61.15601
kna,2021,-59.41204
kor,2021,-21.47314
kwt,2021,-55.17624
lao,2021,-78.2762
lbn,2021,-64.62923
lbr,2021,-23.62321
lby,2021,-53.79119
lca,2021,-54.98823
lie,2021,-27.93676
lka,2021,-55.7043
lso,2021,-54.40893
ltu,2021,-48.67453
lux,2021,-15.33697
lva,2021,-42.53608
mar,2021,-53.01755
mco,2021,-18.57584
mda,2021,-54.65918
mdg,2021,-30.64496
mdv,2021,-62.98085
mex,2021,-39.55311
mhl,2021,-48.33071
mkd,2021,-50.36022
mli,2021,-52.71503
mlt,2021,-34.50664
mmr,2021,-58.77323
mne,2021,-53.27346
mng,2021,-59.92902
moz,2021,-51.70535
mrt,2021,-51.14961
mus,2021,-52.79379
mwi,2021,-39.11771
mys,2021,-49.49685
nam,2021,-68.04827
ner,2021,-38.8128
nga,2021,-43.30188
nic,2021,-77.23207
nld,2021,-11.6892
nor,2021,-12.03703
npl,2021,-63.67218
nru,2021,-68.58408
nzl,2021,-7.19702
omn,2021,-54.71532
pak,2021,-49.83293
pan,2021,-53.09857
per,2021,-51.55966
phl,2021,-50.75024
plw,2021,-64.95494
png,2021,-67.13221
pol,2021,-27.02399
prk,2021,-49.79649
prt,2021,-30.08572
pry,2021,-52.10918
pse,2021,-60.88969
qat,2021,-35.59332
rou,2021,-32.60483
rus,2021,-25.09446
rwa,2021,-58.16521
sau,2021,-38.0983
sdn,2021,-53.63488
sen,2021,-74.81035
sgp,2021,-26.85118
slb,2021,-56.54327
sle,2021,-46.73573
slv,2021,-56.9129
smr,2021,-45.83598
som,2021,-63.56042
srb,2021,-49.33814
ssd,2021,-37.5055
stp,2021,-61.98784
sur,2021,-54.51238
svk,2021,-31.91345
svn,2021,-39.19698
swe,2021,-7.04857
swz,2021,-32.39443
syc,2021,-60.18627
syr,2021,-79.66105
tcd,2021,-25.78212
tgo,2021,-56.23502
tha,2021,-41.31833
tjk,2021,-70.46671
tkm,2021,-64.39277
tls,2021,-58.86221
ton,2021,-64.50655
tto,2021,-65.3305
tun,2021,-51.54524
tur,2021,-44.09812
tuv,2021,-60.5436
tza,2021,-50.92476
uga,2021,-56.14499
ukr,2021,-34.19064
ury,2021,-51.33819
usa,2021,-18.04826
uzb,2021,-65.06585
vct,2021,-62.24569
ven,2021,-69.48137
vnm,2021,-65.99353
vut,2021,-63.43015
wsm,2021,-68.10998
yem,2021,-51.69742
zaf,2021,-64.5595
zmb,2021,-61.34743
zwe,2021,-75.90502
