global,time,oil_sp_lar_num
world,1970,29
world,1971,14
world,1972,27
world,1973,31
world,1974,27
world,1975,20
world,1976,26
world,1977,16
world,1978,23
world,1979,32
world,1980,13
world,1981,7
world,1982,4
world,1983,13
world,1984,8
world,1985,8
world,1986,7
world,1987,11
world,1988,10
world,1989,13
world,1990,14
world,1991,7
world,1992,10
world,1993,11
world,1994,9
world,1995,3
world,1996,3
world,1997,10
world,1998,5
world,1999,5
world,2000,4
world,2001,3
world,2002,3
world,2003,4
world,2004,5
world,2005,3
world,2006,4
world,2007,3
world,2008,1
world,2009,2
world,2010,4
world,2011,1
world,2012,0
world,2013,3
world,2014,1
world,2015,2
world,2016,1
world,2017,2
world,2018,3
world,2019,1
world,2020,0
