country,time,u5stunted_prc
gmb,2008,25.03421
gmb,2009,24.21709
gmb,2010,23.42664
gmb,2011,23.83853
gmb,2012,24.25766
gmb,2013,24.68416
gtm,1995,55.56767
gtm,1996,55.03418
gtm,1997,54.50582
gtm,1998,53.98253
gtm,1999,54.17129
gtm,2000,54.36071
gtm,2001,54.55079
gtm,2002,54.74153
gtm,2003,53.56367
gtm,2004,52.41114
gtm,2005,51.28342
gtm,2006,50.17997
gtm,2007,49.10025
gtm,2008,48.04377
gtm,2009,47.82492
gtm,2010,47.60707
gtm,2011,47.39021
gtm,2012,47.17434
gtm,2013,46.95946
gtm,2014,46.74555
hnd,1991,19.54998
hnd,1992,20.54413
hnd,1993,21.58884
hnd,1994,22.68668
hnd,1995,23.84034
hnd,1996,25.05267
hnd,1997,26.32665
hnd,1998,27.66541
hnd,1999,29.07225
hnd,2000,30.55063
hnd,2001,32.10419
hnd,2002,31.55383
hnd,2003,31.01291
hnd,2004,30.48126
hnd,2005,29.95872
hnd,2006,28.59491
hnd,2007,27.29319
hnd,2008,26.05073
hnd,2009,24.86483
hnd,2010,23.73291
hnd,2011,22.65252
hti,1994,36.84824
hti,1995,35.34626
hti,1996,33.90551
hti,1997,32.52348
hti,1998,31.19779
hti,1999,29.92613
hti,2000,28.70631
hti,2001,28.84343
hti,2002,28.98121
hti,2003,29.11964
hti,2004,29.25874
hti,2005,29.3985
hti,2006,28.21101
hti,2007,27.07149
hti,2008,25.978
hti,2009,24.92867
hti,2010,23.92173
hti,2011,22.95547
hti,2012,22.02823
hti,2013,22.00767
hti,2014,21.98713
hti,2015,21.9666
hti,2016,21.9461
ind,2005,48.02872
ind,2006,46.91356
ind,2007,45.82428
ind,2008,44.7603
ind,2009,43.72103
ind,2010,42.70588
ind,2011,41.7143
ind,2012,40.74575
ind,2013,39.79969
ind,2014,38.87559
ind,2015,37.97295
jor,1997,10.96821
jor,1998,11.06434
jor,1999,11.16131
jor,2000,11.25913
jor,2001,11.35781
jor,2002,11.45735
jor,2003,11.01786
jor,2004,10.59523
jor,2005,10.18881
jor,2006,9.79798
jor,2007,9.42215
jor,2008,9.06072
jor,2009,8.71317
jor,2010,8.37894
jor,2011,8.05754
jor,2012,7.74846
kaz,1999,13.22445
kaz,2000,13.76083
kaz,2001,14.31897
kaz,2002,14.89974
kaz,2003,15.50407
kaz,2004,16.13291
kaz,2005,16.78726
kaz,2006,17.46815
kaz,2007,16.24981
kaz,2008,15.11645
kaz,2009,14.06214
kaz,2010,13.08136
kaz,2011,11.86687
kaz,2012,10.76513
kaz,2013,9.76568
kaz,2014,8.85901
kaz,2015,8.03653
ken,1993,39.89281
ken,1994,39.45225
ken,1995,39.01656
ken,1996,38.58568
ken,1997,38.15955
ken,1998,37.73814
ken,1999,37.32137
ken,2000,36.90921
ken,2001,36.5016
ken,2002,36.0985
ken,2003,35.69984
ken,2004,35.61519
ken,2005,35.53074
ken,2006,35.44649
ken,2007,35.36244
ken,2008,35.27859
ken,2009,33.57308
ken,2010,31.95002
ken,2011,30.40542
ken,2012,28.9355
ken,2013,27.53663
ken,2014,26.2054
kgz,2005,18.09735
kgz,2006,18.06361
kgz,2007,18.02994
kgz,2008,17.99633
kgz,2009,17.96278
kgz,2010,17.92929
kgz,2011,17.89587
kgz,2012,17.86251
kgz,2013,15.19104
kgz,2014,12.91911
kgz,2015,12.61728
kgz,2016,12.32249
kgz,2017,12.0346
kgz,2018,11.75343
khm,2000,49.74035
khm,2001,48.23573
khm,2002,46.77662
khm,2003,45.36166
khm,2004,43.98949
khm,2005,42.65883
khm,2006,42.10642
khm,2007,41.56116
khm,2008,41.02296
khm,2009,40.49173
khm,2010,39.96738
khm,2011,37.99074
khm,2012,36.11185
khm,2013,34.32589
khm,2014,32.62826
lso,2004,44.10841
lso,2005,43.06986
lso,2006,42.05576
lso,2007,41.06554
lso,2008,40.09863
lso,2009,39.15449
lso,2010,37.92433
lso,2011,36.73282
lso,2012,35.57874
lso,2013,34.46092
lso,2014,33.37822
mda,2005,10.35691
mda,2006,9.67169
mda,2007,9.0318
mda,2008,8.43425
mda,2009,7.87624
mda,2010,7.35514
mda,2011,6.86852
mda,2012,6.41409
mkd,2005,11.45757
mkd,2006,9.9614
mkd,2007,8.66061
mkd,2008,7.52968
mkd,2009,6.54643
mkd,2010,5.69157
mkd,2011,4.94835
mli,2001,41.85968
mli,2002,40.9896
mli,2003,40.1376
mli,2004,39.30332
mli,2005,38.48637
mli,2006,37.68641
mli,2007,34.0553
mli,2008,30.77406
mli,2009,27.80896
mli,2010,30.89451
