country,time,impadmin_idea
afg,1975,44.31926
afg,1976,44.23907
afg,1977,44.38479
afg,1978,36.53191
afg,1979,37.29498
afg,1980,37.16562
afg,1981,39.66612
afg,1982,39.70989
afg,1983,39.57727
afg,1984,39.56687
afg,1985,39.58497
afg,1986,39.62362
afg,1987,39.57896
afg,1988,39.49863
afg,1989,39.5173
afg,1990,38.82047
afg,1991,35.21801
afg,1992,28.62057
afg,1993,20.00995
afg,1994,19.68426
afg,1995,19.96792
afg,1996,22.98743
afg,1997,27.11775
afg,1998,27.26282
afg,1999,27.17006
afg,2000,27.20066
afg,2001,27.72823
afg,2002,30.9937
afg,2003,30.2852
afg,2004,30.26404
afg,2005,27.33702
afg,2006,27.42762
afg,2007,27.16072
afg,2008,27.83691
afg,2009,27.72
afg,2010,26.58663
afg,2011,26.65481
afg,2012,26.43573
afg,2013,26.70866
afg,2014,28.02376
afg,2015,30.01277
afg,2016,27.46437
afg,2017,27.82597
afg,2018,30.89587
afg,2019,37.89458
ago,1975,40.82505
ago,1976,40.02023
ago,1977,39.85001
ago,1978,39.1783
ago,1979,38.66415
ago,1980,36.84589
ago,1981,37.03628
ago,1982,36.06291
ago,1983,35.86373
ago,1984,37.11662
ago,1985,36.87194
ago,1986,36.98717
ago,1987,36.67941
ago,1988,34.06354
ago,1989,33.77004
ago,1990,35.37672
ago,1991,36.80228
ago,1992,31.21495
ago,1993,30.72077
ago,1994,30.50642
ago,1995,30.47072
ago,1996,31.48084
ago,1997,30.29283
ago,1998,29.71409
ago,1999,30.04618
ago,2000,30.07484
ago,2001,30.52507
ago,2002,27.47873
ago,2003,25.02351
ago,2004,25.11711
ago,2005,25.09105
ago,2006,24.8808
ago,2007,24.97724
ago,2008,25.00219
ago,2009,25.36279
ago,2010,25.68788
ago,2011,25.93184
ago,2012,25.51126
ago,2013,24.72213
ago,2014,25.01771
ago,2015,24.51695
ago,2016,24.95699
ago,2017,34.34685
ago,2018,40.89773
ago,2019,38.94747
alb,1975,53.4212
alb,1976,53.51589
alb,1977,50.13987
alb,1978,49.84091
alb,1979,49.83028
alb,1980,50.00333
alb,1981,49.23377
alb,1982,49.42841
alb,1983,49.13385
alb,1984,49.15411
alb,1985,46.98662
alb,1986,47.48371
alb,1987,47.59151
