world_4region,time,matfootp
africa,1990,2007561961
africa,1991,2426261647
africa,1992,2012081390
africa,1993,2093723442
africa,1994,2058057898
africa,1995,2065025078
africa,1996,2130708941
africa,1997,2177279023
africa,1998,2218482296
africa,1999,2188495106
africa,2000,2127561097
africa,2001,2181881326
africa,2002,2222961839
africa,2003,2333472243
africa,2004,2431955596
africa,2005,2608007676
africa,2006,2695028940
africa,2007,2782400315
africa,2008,3039723630
africa,2009,3102837193
africa,2010,3299939497
africa,2011,3251781613
africa,2012,3368296865
africa,2013,3487116331
africa,2014,3598684823
africa,2015,3688921853
africa,2016,3796992906
africa,2017,3905241991
americas,1990,11674477436
americas,1991,11712154148
americas,1992,12088092683
americas,1993,11875608806
americas,1994,12910072446
americas,1995,13249841603
americas,1996,13676105549
americas,1997,14651325299
americas,1998,15695064460
americas,1999,15717091420
americas,2000,16217704768
americas,2001,16097587394
americas,2002,15982776181
americas,2003,16181972140
americas,2004,17167182884
americas,2005,18123225093
americas,2006,18509538690
americas,2007,18549030224
americas,2008,18038673610
americas,2009,16525911258
americas,2010,17670463563
americas,2011,18147203275
americas,2012,18243364718
americas,2013,18741271262
americas,2014,19012535862
americas,2015,19232783101
americas,2016,19512744073
americas,2017,19793424466
asia,1990,15856843067
asia,1991,17916953113
asia,1992,19271837416
asia,1993,20157663697
asia,1994,21000856272
asia,1995,21901846110
asia,1996,22931920910
asia,1997,22993681672
asia,1998,22612055667
asia,1999,23267304412
asia,2000,23607863705
asia,2001,24657110597
asia,2002,25037210316
asia,2003,27034493272
asia,2004,28418952300
asia,2005,29603746577
asia,2006,31462181898
asia,2007,33640754472
asia,2008,35146139546
asia,2009,38259117215
asia,2010,41172742924
asia,2011,44265146645
asia,2012,45340183934
asia,2013,47013689300
asia,2014,47751040172
asia,2015,49053222878
asia,2016,50635938237
asia,2017,52219594432
europe,1990,8706773014
europe,1991,10641664714
europe,1992,11142675043
europe,1993,10569448425
europe,1994,10389316518
europe,1995,10778714000
europe,1996,10566674937
europe,1997,10710312277
europe,1998,11199325548
europe,1999,11451150404
europe,2000,11875333099
europe,2001,11877287619
europe,2002,12288038182
europe,2003,12901090803
europe,2004,13801455367
europe,2005,14237028232
europe,2006,14862870871
europe,2007,15576553636
europe,2008,15534631813
europe,2009,14244270908
europe,2010,14388738324
europe,2011,14805267734
europe,2012,14697839889
europe,2013,14965107499
europe,2014,15186711550
europe,2015,15459182476
europe,2016,15755697572
europe,2017,16054487210
