country,time,pirats_bo
ago,2011,1
ago,2012,0
ago,2013,0
ago,2014,1
ago,2015,0
ago,2016,2
ago,2017,1
ago,2018,0
ago,2019,0
ago,2020,6
ben,2011,20
ben,2012,2
ben,2013,0
ben,2014,0
ben,2015,0
ben,2016,1
ben,2017,0
ben,2018,5
ben,2019,3
ben,2020,11
bgd,2010,23
bgd,2011,10
bgd,2012,11
bgd,2013,12
bgd,2014,21
bgd,2015,11
bgd,2016,3
bgd,2017,11
bgd,2018,12
bgd,2019,0
bgd,2020,4
bra,2010,9
bra,2011,3
bra,2012,1
bra,2013,1
bra,2014,1
bra,2015,0
bra,2016,0
bra,2017,0
bra,2018,4
bra,2019,2
bra,2020,7
chn,2010,1
chn,2011,2
chn,2012,1
chn,2013,0
chn,2014,0
chn,2015,4
chn,2016,7
chn,2017,2
chn,2018,3
chn,2019,3
civ,2010,4
civ,2011,1
civ,2012,5
civ,2013,4
civ,2014,3
civ,2015,1
civ,2016,1
civ,2017,1
civ,2018,1
civ,2019,1
civ,2020,3
cmr,2010,5
cmr,2011,0
cmr,2012,1
cmr,2013,0
cmr,2014,1
cmr,2015,1
cmr,2016,0
cmr,2017,0
cmr,2018,7
cmr,2019,6
cod,2010,3
cod,2011,4
cod,2012,2
cod,2013,0
cod,2014,1
cod,2015,3
cod,2016,2
cod,2017,0
cod,2018,1
cod,2019,1
cog,2010,1
cog,2011,3
cog,2012,4
cog,2013,3
cog,2014,7
cog,2015,5
cog,2016,6
cog,2017,1
cog,2018,6
cog,2019,3
cog,2020,3
col,2010,3
col,2011,4
col,2012,5
col,2013,7
col,2014,2
col,2015,5
col,2016,4
col,2017,6
col,2018,1
col,2019,3
col,2020,1
cri,2010,1
cri,2011,3
cri,2012,1
dom,2012,1
dom,2013,1
dom,2014,0
dom,2015,0
dom,2016,0
dom,2017,0
dom,2018,0
dom,2019,1
dza,2012,1
dza,2013,0
dza,2014,0
dza,2015,0
dza,2016,0
dza,2017,0
dza,2018,0
dza,2019,1
ecu,2010,3
ecu,2011,6
ecu,2012,4
ecu,2013,3
ecu,2014,0
ecu,2015,0
ecu,2016,0
ecu,2017,2
ecu,2018,4
ecu,2019,3
ecu,2020,5
egy,2010,2
egy,2011,3
egy,2012,7
egy,2013,7
egy,2014,0
egy,2015,1
gab,2013,2
gab,2014,1
gab,2015,0
gab,2016,0
gab,2017,0
gab,2018,0
gab,2019,1
gab,2020,2
gha,2011,2
gha,2012,2
gha,2013,1
gha,2014,4
gha,2015,2
gha,2016,3
gha,2017,1
gha,2018,10
gha,2019,3
gha,2020,9
gin,2010,6
gin,2011,5
gin,2012,3
gin,2013,1
gin,2014,0
gin,2015,3
gin,2016,3
